Name,Score,Crash,Degredation
Jack Doohan,94,2,4
Pierre Gasly,96,4,2
Lance Stroll,96,3,3
Charles Leclerc,100,5,1
Esteban Ocon,98,5,2
Oliver Bearman,98,4,3
Lando Norris,100,4,1
Oscar Piastri,100,5,1
Andrea Kimi Antonelli,98,4,3
George Russell,100,5,1
Isack Hadjar,98,4,3
Liam Lawson,97,3,3
Max Verstappen,100,4,1
Yuki Tsunoda,99,4,2
Gabriel Bortoleto,98,4,4
Alexander Albon,98,4,2
Carlos Sainz Jr,97,3,2
Leonardo Fornaroli,93,4,3
Roman Stanek,92,3,5
Pepe Marti,94,3,4
Arvid Lindblad,94,3,3
Oliver Goethe,90,3,4
Richard Verschoor,94,4,3
Luke Browning,94,3,3
Dino Beganovic,91,3,4
Gabriele Mini,93,4,3
Jak Crawford,95,3,4
Victor Martins,97,4,3
Ritomo Miyata,97,4,2
Alex Dunne,96,1,3
Joshua Durksen,93,2,4
Rafael Villagomez,92,2,5
Noah Stromsted,93,2,4
Rafael Camara,96,4,3
Laurens van Hoepen,93,3,3
Tuukka Taponen,94,4,3
Mari Boya,93,3,4
Martinius Stenshorne,93,4,4
Bruno del Pino,91,4,4
Alessandro Giusti,92,3,4
Callum Voisin,93,4,4
Louis Sharp,93,3,5
Roman Bilinski,92,3,4
Freddie Slater,95,4,4
David Malukas,100,4,2
Santino Ferrucci,97,2,3
Colton Herta,100,4,2
Kyle Kirkwood,99,4,2
Pato O'Ward,100,4,1
Nolan Siegel,95,3,3
Christian Lundgaard,99,4,2
Kyffin Simpson,98,4,3
Alex Palou,100,5,1
Rinus VeeKay,100,4,2
Jacob Abel,94,3,4
Christian Rasmussen,98,3,3
Sting Ray Robb,97,3,3
Felix Rosenqvist,98,4,2
Marcus Armstrong,98,4,2
Robert Shwartzman,97,3,1
Callum Ilott,100,4,1
Devlin DeFrancesco,94,2,4
Louis Foster,97,4,3
Myles Rowe,95,3,4
Dennis Hauger,96,4,2
James Roe,93,3,4
Josh Pierson,96,4,3
Caio Collet,95,4,3
Pascal Wehrlein,98,4,1
Stoffel Vandoorne,97,4,2
Jake Hughes,97,3,2
David Beckmann,96,3,3
Dan Ticktum,98,3,2
Taylor Barnard,97,4,2
Maximilian Gunther,96,4,2
Mitch Evans,98,4,2
Nick Cassidy,97,3,2
Zane Maloney,97,4,3
Norman Nato,97,3,2
Oliver Rowland,97,4,2
Nyck de Vries,96,3,1
Edoardo Mortara,97,4,2
Jake Dennis,97,3,2
Nico Muller,97,4,1
Ryo Hirakawa,96,4,1
Mick Schumacher,96,2,3
Doriane Pin,98,4,2
Maya Weug,97,4,3
Chloe Chambers,97,3,3
Aurelia Nobels,95,3,4
Marta Garcia,98,4,2
Abbi Pulling,98,4,2
Jamie Chadwick,96,3,2
Theo Pourchaire,99,4,2
Hunter McElrea,98,3,2
Toby Sowery,99,4,2
Tristan Vautier,98,3,3
