Name,Code,Score,Aero Setup,Chassis Setup,Susp Setup,Reliability,Tyre Wear,Spine,Engine,Tyres,Reserve
Bruh Racing,Bruh,99,2,3,4,14,3,Lola,Chevrolet,Firestone,Tristan Vautier
Tactically Perfect Racing,Tactically,98,4,3,5,15,1,Reynard,Chevrolet,Michelin,Stoffel Vandoorne
Super Corby Racing,Super Corby,99,4,4,7,12,3,Tatuus,Porsche,Michelin,David Malukas
Hunter Motorsport,Hunter,100,2,2,6,12,1,March,Porsche,Firestone,Theo Pourchaire
URT Motorsports,URT,97,2,4,6,15,1,March,Toyota,Pirelli,NONE
Project D Racing,Project D,100,4,2,8,15,2,Reynard,Toyota,Michelin,Carlos Sainz Jr
BKT Racing,BKT,97,4,3,7,15,1,Reynard,Honda,Pirelli,Robert Shwartzman
Sim Party Racing,Sim Party,97,2,2,5,14,2,Lola,Chevrolet,Michelin,Oliver Bearman
Centurion Engineering,Centurion,97,2,2,7,14,2,Lola,Honda,Firestone,Marta Garcia
Apex Motorsports,Apex,100,3,2,5,14,2,Tatuus,Toyota,Michelin,Santino Ferrucci
