Title,Event No,Order No,R1 Length,R2 Length,Venue
Australian Event,1,1,40,34,Adelaide
Chinese Event,2,2,30,24,Shanghai
Malaysian Event,3,3,29,24,Sepang
Singapore Event,4,4,31,26,Singapore
Japanese Event,5,5,28,23,Suzuka
Motegi Event,6,6,121,81,Motegi Oval
Portuguese Event,7,7,39,32,Estoril
Spanish Event,8,8,37,30,Jerez
French Event,9,9,37,30,Magny-Cours
German Event,10,10,32,26,Nurburgring
Italian Event,11,11,31,25,Mugello
Belgian Event,12,12,23,19,Spa
European Event,13,13,35,28,Barcelona
British Event,14,14,28,23,Silverstone
Turkish Event,15,15,30,25,Istanbul
Brazilian Event,16,16,38,31,Interlagos
Mexican Event,17,17,38,31,Mexico City
American Event,18,18,48,40,Long Beach
Indianapolis Event,19,19,75,50,Indianapolis
TDS13 Finale,20,20,75,50,Daytona
