Car No,Driver Name,Team Code
#1,Kimi Antonelli,Blue Flag
#20,Arvid Lindblad,Blue Flag
#69,Dino Beganovic,Blue Flag
#18,Jamie Chadwick,Stellar
#14,Chloe Chambers,Stellar
#22,Aurelia Nobels,Stellar
#30,Victor Martins,APR GP
#28,Doriane Pin,APR GP
#29,Dan Ticktum,APR GP
#24,Lando Norris,Super Corby
#5,David Malukas,Super Corby
#27,Oscar Piastri,Super Corby
#25,Pato O'Ward,Super Corby
#101,Colton Herta,Tactically
#100,George Russell,Tactically
#102,Gabriel Bortoleto,Tactically
#97,Yuki Tsunoda,98-99R
#98,Ayumu Iwasa,98-99R
#99,Liam Lawson,98-99R
#12,Kyle Kirkwood,Centurion
#10,Alex Palou,Centurion
#11,Abbi Pulling,Centurion
#8,Christian Lundgaard,Bruh
#7,Rinus VeeKay,Bruh
#9,Tuukka Taponen,Bruh
#90,Callum Ilott,Project D
#92,Ritomo Miyata,Project D
#91,Hunter McElrea,Project D
#16,Charles Leclerc,Sim Party
#23,Alexander Albon,Sim Party
#47,Mick Schumacher,Sim Party
